Unnamed: 0,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID,Vehicle Type
1307,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,4796Taxi,Taxi
1461,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,13637Medicar,Medicar
1591,REVOKED,VPG,MV-1,2011.0,WHITE,Compressed Natural Gas,N,DESIREE AND MONIQUE CAB CORP.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,5160Taxi,Taxi
1613,REVOKED,DODGE,CARAVAN,2011.0,WHITE,Compressed Natural Gas,N,WEST END TAXI CORP.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,1803Taxi,Taxi
1619,VIOLATION,TOYOTA,COROLLA,2017.0,WHITE,Compressed Natural Gas,N,PETANI CAB CORP,CHICAGO,IL,60659.0,Top Cab Association,Top Cab Corp.,862Taxi,Taxi
1727,VIOLATION,FORD,ESCAPE,2012.0,WHITE,Compressed Natural Gas,N,MCCAB I CORP.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,2528Taxi,Taxi
1796,VIOLATION,CHEVROLET,IMPALA,2009.0,WHITE,Compressed Natural Gas,N,INF CAB CORPORATION,CHICAGO,IL,60659.0,DIS-AFFILIATED,Owner Manager,4499Taxi,Taxi
1921,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,MONETA TAXI INC.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,2394Taxi,Taxi
2223,VIOLATION,DODGE,GRAND CARAVAN,2013.0,WHITE,Compressed Natural Gas,Y,MIRZASULEMAN CORP,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,6955Taxi,Taxi
2397,FORECLOSURE,DODGE,CARAVAN,2012.0,GREEN,Compressed Natural Gas,Y,LIBRA TAXI INC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",540Taxi,Taxi
2941,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,6409Taxi,Taxi
2968,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,SLSJETS III CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,593Taxi,Taxi
3307,VIOLATION,TOYOTA,COROLLA,2017.0,WHITE,Compressed Natural Gas,N,PETANI CAB CORP,CHICAGO,IL,60659.0,Top Cab Association,Top Cab Corp.,1112Taxi,Taxi
3448,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,TRIA HACKING CORP.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,6715Taxi,Taxi
4373,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,13632Medicar,Medicar
4443,VIOLATION,FORD,ESCAPE,2010.0,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,6418Taxi,Taxi
4454,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,"TUDOR CITY HOLDINGS, INC.",CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,4980Taxi,Taxi
4458,SURRENDER,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,TAXI MEDALLION GROUPLLC SERIESXXIII,CHICAGO,IL,60618.0,DIS-AFFILIATED,Owner Manager,2433Taxi,Taxi
4667,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,13634Medicar,Medicar
4762,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GALA CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,250Taxi,Taxi
5259,VIOLATION,FORD,ESCAPE,2011.0,GREEN,Compressed Natural Gas,N,ARIES TAXI CAB INC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",6870Taxi,Taxi
5630,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,13635Medicar,Medicar
5771,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"PRETTY RACHEL IN CHICAGO, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,218Taxi,Taxi
5804,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,13630Medicar,Medicar
5879,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,JULY CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5196Taxi,Taxi
6121,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,707Taxi,Taxi
6235,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,BELKIDS TAXI LLC,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,2106Taxi,Taxi
6480,SURRENDER,DODGE,GRAND CARAVAN,2016.0,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",748Taxi,Taxi
6512,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,920Taxi,Taxi
6943,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,BROWN EYES CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5189Taxi,Taxi
7751,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",770Taxi,Taxi
7884,VIOLATION,DODGE,GRAND CARAVAN,2013.0,WHITE,Compressed Natural Gas,Y,GOODBAR TAXI CORP II,CHICAGO,IL,60612.0,DIS-AFFILIATED,Owner Manager,6236Taxi,Taxi
7897,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,DIAL CAB COMPANY,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,3142Taxi,Taxi
8112,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,AQUA ZONE CAB CO.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1714Taxi,Taxi
8459,SURRENDER,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,TAXI MEDALLION GROUPLLC SERIESXXIII,CHICAGO,IL,60618.0,DIS-AFFILIATED,Owner Manager,2422Taxi,Taxi
8512,INACTIVE,FORD,E350,2010.0,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,12505Medicar,Medicar
8693,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",1222Taxi,Taxi
8730,VIOLATION,FORD,ESCAPE,2011.0,GREEN,Compressed Natural Gas,N,ARIES TAXI CAB INC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",6870Taxi,Taxi
8875,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,3062Taxi,Taxi
9188,VIOLATION,CHEVROLET,IMPALA,2009.0,WHITE,Compressed Natural Gas,N,UBOO CAB CORPORATION,CHICAGO,IL,60659.0,DIS-AFFILIATED,Owner Manager,4568Taxi,Taxi
9304,VIOLATION,VPG,MV-1,2014.0,WHITE,Compressed Natural Gas,Y,AQUA ZONE CAB CO.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1899Taxi,Taxi
9334,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"CHICAGO POLO VIII, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5319Taxi,Taxi
9502,VIOLATION,FORD,CROWN VICTORIA,2010.0,WHITE,Compressed Natural Gas,N,MCCAB I CORP.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,2525Taxi,Taxi
9561,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,ZHANET CAB CORP,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,6258Taxi,Taxi
9664,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,JULY CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1775Taxi,Taxi
9935,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,13598Medicar,Medicar
9954,INACTIVE,FORD,E350,2010.0,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,11882Medicar,Medicar
10213,VIOLATION,FORD,ESCAPE,2011.0,WHITE,Compressed Natural Gas,N,"STEPHENDAM , INC.",CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,6660Taxi,Taxi
10499,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,13599Medicar,Medicar
10592,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GERI'S CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,260Taxi,Taxi
10693,VIOLATION,FORD,ESCAPE,2010.0,GREEN,Compressed Natural Gas,N,NECT 6 INC.,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",6762Taxi,Taxi
11359,VIOLATION,VPG,MV-1,2014.0,WHITE,Compressed Natural Gas,Y,"CHICAGO POLO XI, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,772Taxi,Taxi
11605,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,MOISTURE II HACKING CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,4620Taxi,Taxi
11707,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,CARMELO CAB CORP.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,6320Taxi,Taxi
11803,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,CHICAGO SEVEN INC,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5077Taxi,Taxi
11886,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"I & B MIDWEST ENTERPRISE, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,2436Taxi,Taxi
12498,VIOLATION,FORD,ESCAPE,2012.0,WHITE,Compressed Natural Gas,N,MCCAB II CORP.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,2544Taxi,Taxi
12564,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO ONE, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,2364Taxi,Taxi
12610,VIOLATION,FORD,TRANSIT CONNECT,2012.0,WHITE,Compressed Natural Gas,N,EMMANUEL O ORJI,CHICAGO,IL,60653.0,DIS-AFFILIATED,Owner Manager,3918Taxi,Taxi
12835,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,13636Medicar,Medicar
13113,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,13634Medicar,Medicar
13136,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,BELKIDS TAXI LLC,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,4460Taxi,Taxi
13194,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,"CHICAGO POLO X, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1966Taxi,Taxi
13359,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,JIREH TRANSPORTATION SERVICES CORP.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner-Operator,6721Taxi,Taxi
13382,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,617Taxi,Taxi
13390,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",755Taxi,Taxi
13512,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,ELSTON ELEVEN LLC,CHICAGO,IL,60612.0,DIS-AFFILIATED,Owner Manager,4423Taxi,Taxi
13537,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GALA CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,246Taxi,Taxi
13773,INACTIVE,FORD,E350,2010.0,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,12517Medicar,Medicar
14105,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,13597Medicar,Medicar
14154,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,DIAL CAB COMPANY,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,3142Taxi,Taxi
14226,VIOLATION,FORD,ESCAPE,2011.0,WHITE,Compressed Natural Gas,N,NADIA CHICAGO INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,6571Taxi,Taxi
14312,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,13633Medicar,Medicar
14579,VIOLATION,DODGE,GRAND CARAVAN,2012.0,GREEN,Compressed Natural Gas,Y,NECT 2 INC.,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",3521Taxi,Taxi
14723,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",96Taxi,Taxi
14815,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,,,13631Medicar,Medicar
14831,VIOLATION,TOYOTA,COROLLA,2017.0,WHITE,Compressed Natural Gas,N,PETANI CAB CORP,CHICAGO,IL,60659.0,Top Cab Association,Top Cab Corp.,862Taxi,Taxi
14882,VIOLATION,FORD,ESCAPE,2010.0,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,2931Taxi,Taxi
15111,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,"CHICAGO POLO IX, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,3864Taxi,Taxi
15210,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",1279Taxi,Taxi
15608,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,CHICAGO SEVEN INC,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,469Taxi,Taxi
15724,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,4850Taxi,Taxi
15731,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,4894Taxi,Taxi
15840,SURRENDER,DODGE,GRAND CARAVAN,2012.0,BLUE/WHITE,Compressed Natural Gas,Y,MCCAB XII CORP.,CHICAGO,IL,60641.0,Sun Taxi Association Inc,"Sun Financial Services, Inc.",5533Taxi,Taxi
15876,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,3076Taxi,Taxi
15984,FORECLOSURE,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,LIBRA TAXI INC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",542Taxi,Taxi
16028,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,SNOWSTORM II HACKING CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1413Taxi,Taxi
16404,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,1686Taxi,Taxi
16600,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,3079Taxi,Taxi
1,ACTIVE,CADILLAC,ESCALADE,2024.0,BLACK,Diesel,N,HOLO BLACK LUXURY INC,CHICAGO,IL,60656.0,,,70706Livery,Livery
17,INACTIVE,FREIGHLINE,TROLLEY,2005.0,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,,,18536Charter Sightseeing,Charter Sightseeing
107,INACTIVE,CHAMPION,TROLLEY,2001.0,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,,,13922Charter Sightseeing,Charter Sightseeing
393,INACTIVE,THOMAS,TROLLEY,2005.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,,,16000Charter Sightseeing,Charter Sightseeing
520,INACTIVE,FREIGHTLINER,TRANSIT BUS,2002.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,,,19210Charter Sightseeing,Charter Sightseeing
566,INACTIVE,THOMAS,TROLLEY,2005.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,,,16003Charter Sightseeing,Charter Sightseeing
584,INACTIVE,FREIGHTLINER,X LINE SHUTTLE,2000.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,,,50000Charter Sightseeing,Charter Sightseeing
881,INACTIVE,CHAMPION,TROLLEY,1993.0,ORANGE,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,,,15065Charter Sightseeing,Charter Sightseeing
932,INACTIVE,MCI,4505,2007.0,BLACK/WHITE/RED/BLUE,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,,,19175Charter Sightseeing,Charter Sightseeing
1422,INACTIVE,CHAMPION,TROLLEY,2000.0,MAROON,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,,,1000009Charter Sightseeing,Charter Sightseeing
1459,INACTIVE,,,2002.0,RED/CREAM,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,,,79331Charter Sightseeing,Charter Sightseeing
2005,ACTIVE,MERCEDES,SPRINTER,2013.0,WHITE,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,60126.0,,,4893Ambulance,Ambulance
2021,INACTIVE,ALEXANDER DENNIS LTD,ENVIRO 400,2013.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,,,16783Charter Sightseeing,Charter Sightseeing
2080,INACTIVE,GILLIG,TRANSIT,2016.0,MAROON,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,,,20614Charter Sightseeing,Charter Sightseeing
2457,INACTIVE,CHAMPION,TROLLEY,1998.0,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,,,1000013Charter Sightseeing,Charter Sightseeing
2723,ACTIVE,MERCEDES,SPRINTER,2012.0,WHITE/RED,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,60126.0,,,4885Ambulance,Ambulance
2729,INACTIVE,,,2006.0,YELLOW/BLUE,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,,,23340Charter Sightseeing,Charter Sightseeing
2885,INACTIVE,FREIGHTLINER,GLAVAL LEGACY,2015.0,BLACK,Diesel,N,JKS LIMOUSINES LLC.,CHICAGO,IL,60602.0,,,10714Charter Sightseeing,Charter Sightseeing
3026,INACTIVE,INTL,CARRYALL,1997.0,WHITE,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,,,13754Charter Sightseeing,Charter Sightseeing
3029,INACTIVE,LEYLAND,OLYMPIAN,1988.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,,,17878Charter Sightseeing,Charter Sightseeing
3377,INACTIVE,,,2006.0,RED/CREAM,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,,,91828Charter Sightseeing,Charter Sightseeing
3507,INACTIVE,CHAMPION,TROLLEY,1998.0,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,,,15052Charter Sightseeing,Charter Sightseeing
3857,INACTIVE,ALEXANDER DENNIS LTD,ENVIPO400,2012.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,,,16787Charter Sightseeing,Charter Sightseeing
3984,INACTIVE,CHEVROLET,TROLLEY,1998.0,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,,,17971Charter Sightseeing,Charter Sightseeing
4096,INACTIVE,CHAMPION,TROLLEY,1990.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,,,17291Charter Sightseeing,Charter Sightseeing
4423,ACTIVE,MERCEDES,SPRINTER,2015.0,WHITE,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,60126.0,,,5655Ambulance,Ambulance
4504,INACTIVE,FREIGHLINE,M2 106,2014.0,BLACK,Diesel,N,Amida Inc,CHICAGO,IL,60656.0,,,14086Charter Sightseeing,Charter Sightseeing
4768,RESERVED,DODGE,AMBULANCE,2016.0,RED/BLUE,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,60126.0,,,5219Ambulance,Ambulance
5082,INACTIVE,ALEXDER DENNIS LTD,E400H,2014.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,,,19629Charter Sightseeing,Charter Sightseeing
5102,INACTIVE,CHAMPION,TROLLEY,2000.0,MAROON,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,,,14357Charter Sightseeing,Charter Sightseeing
5427,INACTIVE,FREIGHLINE,X LINE SHUTTLE,2000.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,,,13760Charter Sightseeing,Charter Sightseeing
5662,INACTIVE,IC,STARCRAFT,2014.0,SILVER,Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,IL,60640.0,,,12023Charter Sightseeing,Charter Sightseeing
